Word base            L.key                Suffixes id          W.form key                     W.form
dolje                FX#ADV#MJE.GDJE      -                    -                              dolje
donekle              FX#ADV#MJE.DOKLE     -                    -                              donekle
donle                FX#ADV#MJE.DOKLE     -                    -                              donle
dosad                FX#ADV#VRE.DOKAD     -                    -                              dosad
doskoro              FX#ADV#VRE.DOKAD     -                    -                              doskoro
dosta                FX#ADV#KOL.KOLIKO    -                    -                              dosta
dotad                FX#ADV#VRE.DOKAD     -                    -                              dotad
dotle                FX#ADV#MJE.DOKLE     -                    -                              dotle
dovečer              FX#ADV#VRE.DOKAD     -                    -                              dovečer
dovle                FX#ADV#MJE.DOKLE     -                    -                              dovle
dr.                  FX#ABBR#N            -                    -                              dr.
drugamo              FX#ADV#MJE.KAMO      -                    -                              drugamo
drugdje              FX#ADV#MJE.GDJE      -                    -                              drugdje
druguda              FX#ADV#MJE.KUDA      -                    -                              druguda
dum                  FX#EXCL#ONO          -                    -                              dum
duž                  FX#PREP#UZ_G         -                    -                              duž
dvaput               FX#ADV#KOL.KOLIKO    -                    -                              dvaput
e                    FX#EXCL#OSJ          -                    -                              e
eg.                  FX#ABBR#OTH          -                    -                              eg.
eh                   FX#EXCL#OSJ          -                    -                              eh
ehe                  FX#EXCL#OSJ          -                    -                              ehe
ej                   FX#EXCL#OSJ          -                    -                              ej
eno                  FX#EXCL#POK          -                    -                              eno
eno                  FX#PART#ALL          -                    -                              eno
eto                  FX#EXCL#POK          -                    -                              eto
eto                  FX#PART#ALL          -                    -                              eto
evo                  FX#EXCL#POK          -                    -                              evo
evo                  FX#PART#ALL          -                    -                              evo
fra.                 FX#ABBR#N            -                    -                              fra.
g.                   FX#ABBR#N            -                    -                              g.
gdin.                FX#ABBR#N            -                    -                              gdin.
gdje                 FX#CONJ#PRI          -                    -                              gdje
gdjegdje             FX#ADV#MJE.GDJE      -                    -                              gdjegdje
gdjekad              FX#ADV#VRE.KADA      -                    -                              gdjekad
gdjekakav            CH#PRON.NEO.CH2#     PRON.UOD.IME##kakav  PRON.NEO.CH2##|S/N/M#1         gdjekakav
gdjekakav            CH#PRON.NEO.CH2#     PRON.UOD.IME##kakav  PRON.NEO.CH2##|S/N/M#2         gdjekakvi
gdjekakav            CH#PRON.NEO.CH2#     PRON.UOD.IME##kakav  PRON.NEO.CH2##|S/N/F#1         gdjekakva
gdjekakav            CH#PRON.NEO.CH2#     PRON.UOD.IME##kakav  PRON.NEO.CH2##|S/N/N#1         gdjekakvo
gdjekakav            CH#PRON.NEO.CH2#     PRON.UOD.IME##kakav  PRON.NEO.CH2##|S/G/M#1         gdjekakva
gdjekakav            CH#PRON.NEO.CH2#     PRON.UOD.IME##kakav  PRON.NEO.CH2##|S/G/M#2         gdjekakvoga
gdjekakav            CH#PRON.NEO.CH2#     PRON.UOD.IME##kakav  PRON.NEO.CH2##|S/G/M#3         gdjekakvog
gdjekakav            CH#PRON.NEO.CH2#     PRON.UOD.IME##kakav  PRON.NEO.CH2##|S/G/F#1         gdjekakve
gdjekakav            CH#PRON.NEO.CH2#     PRON.UOD.IME##kakav  PRON.NEO.CH2##|S/G/N#1         gdjekakva
gdjekakav            CH#PRON.NEO.CH2#     PRON.UOD.IME##kakav  PRON.NEO.CH2##|S/G/N#2         gdjekakvoga
gdjekakav            CH#PRON.NEO.CH2#     PRON.UOD.IME##kakav  PRON.NEO.CH2##|S/G/N#3         gdjekakvog
gdjekakav            CH#PRON.NEO.CH2#     PRON.UOD.IME##kakav  PRON.NEO.CH2##|S/D/M#1         gdjekakvu
gdjekakav            CH#PRON.NEO.CH2#     PRON.UOD.IME##kakav  PRON.NEO.CH2##|S/D/M#2         gdjekakvomu
gdjekakav            CH#PRON.NEO.CH2#     PRON.UOD.IME##kakav  PRON.NEO.CH2##|S/D/M#3         gdjekakvom
gdjekakav            CH#PRON.NEO.CH2#     PRON.UOD.IME##kakav  PRON.NEO.CH2##|S/D/F#1         gdjekakvoj
gdjekakav            CH#PRON.NEO.CH2#     PRON.UOD.IME##kakav  PRON.NEO.CH2##|S/D/N#1         gdjekakvu
gdjekakav            CH#PRON.NEO.CH2#     PRON.UOD.IME##kakav  PRON.NEO.CH2##|S/D/N#2         gdjekakvomu
gdjekakav            CH#PRON.NEO.CH2#     PRON.UOD.IME##kakav  PRON.NEO.CH2##|S/D/N#3         gdjekakvom
gdjekakav            CH#PRON.NEO.CH2#     PRON.UOD.IME##kakav  PRON.NEO.CH2##|S/A/M#1         gdjekakva
gdjekakav            CH#PRON.NEO.CH2#     PRON.UOD.IME##kakav  PRON.NEO.CH2##|S/A/M#2         gdjekakvoga
gdjekakav            CH#PRON.NEO.CH2#     PRON.UOD.IME##kakav  PRON.NEO.CH2##|S/A/M#3         gdjekakvog
gdjekakav            CH#PRON.NEO.CH2#     PRON.UOD.IME##kakav  PRON.NEO.CH2##|S/A/F#1         gdjekakvu
gdjekakav            CH#PRON.NEO.CH2#     PRON.UOD.IME##kakav  PRON.NEO.CH2##|S/A/N#1         gdjekakvo
gdjekakav            CH#PRON.NEO.CH2#     PRON.UOD.IME##kakav  PRON.NEO.CH2##|S/V/M#1         gdjekakvi
gdjekakav            CH#PRON.NEO.CH2#     PRON.UOD.IME##kakav  PRON.NEO.CH2##|S/V/F#1         gdjekakva
gdjekakav            CH#PRON.NEO.CH2#     PRON.UOD.IME##kakav  PRON.NEO.CH2##|S/V/N#1         gdjekakvo
gdjekakav            CH#PRON.NEO.CH2#     PRON.UOD.IME##kakav  PRON.NEO.CH2##|S/L/M#1         gdjekakvu
gdjekakav            CH#PRON.NEO.CH2#     PRON.UOD.IME##kakav  PRON.NEO.CH2##|S/L/M#2         gdjekakvom
gdjekakav            CH#PRON.NEO.CH2#     PRON.UOD.IME##kakav  PRON.NEO.CH2##|S/L/M#3         gdjekakvome
gdjekakav            CH#PRON.NEO.CH2#     PRON.UOD.IME##kakav  PRON.NEO.CH2##|S/L/F#1         gdjekakvoj
gdjekakav            CH#PRON.NEO.CH2#     PRON.UOD.IME##kakav  PRON.NEO.CH2##|S/L/N#1         gdjekakvu
gdjekakav            CH#PRON.NEO.CH2#     PRON.UOD.IME##kakav  PRON.NEO.CH2##|S/L/N#2         gdjekakvom
gdjekakav            CH#PRON.NEO.CH2#     PRON.UOD.IME##kakav  PRON.NEO.CH2##|S/L/N#3         gdjekakvome
gdjekakav            CH#PRON.NEO.CH2#     PRON.UOD.IME##kakav  PRON.NEO.CH2##|S/I/M#1         gdjekakvim
gdjekakav            CH#PRON.NEO.CH2#     PRON.UOD.IME##kakav  PRON.NEO.CH2##|S/I/F#1         gdjekakvom
